de	ADP	de
L'	DET	le
mot	NOUN	mot
.	PUNCT	.
Je	PRON	je
vermine	NOUN	vermine
pouvait	VERB	pouvoir
une	DET	un
dénouement	NOUN	dénouement
me	PRON	me
Je	PRON	je
ressemblait	VERB	ressembler
au	ADP	au
:	PUNCT	:
ton	NOUN	ton
compris	VERB	comprendre
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
-ce	PRON	-ce
connu	VERB	connaître
le	DET	le
inscrite	VERB	inscrire
Auraisje	PROPN	Auraisje
est	AUX	être
aurais	VERB	avoir
,	PUNCT	,
fouillais	ADJ	fouillai
fin	NOUN	fin
sordide	VERB	sordide
sans	ADP	sans
l'	DET	le
que	PRON	que
filigrane	VERB	filigrane
?	PUNCT	?
sa	DET	son
tous	ADJ	tout
fil	NOUN	fil
années	NOUN	année
dévier	PRON	dévier
existe	VERB	existe
cette	DET	ce
des	DET	un
horreur	NOUN	horreur
mes	DET	mon
livres	NOUN	livre
dans	ADP	dans
mon	DET	mon
chaque	DET	chaque
n'	ADV	n'
je	PRON	je
,	PUNCT	,
récit	NOUN	récit
depuis	ADP	depuis
Il	PRON	il
suivi	VERB	suivre
en	ADP	en
de	ADP	de
détail	NOUN	détail
,	PUNCT	,
,	PUNCT	,
de	ADP	de
cette	DET	ce
de	ADP	de
pas	ADV	pas
j'	PRON	je
pour	ADP	pour
ligne	NOUN	ligne
s'	PRON	se
,	PUNCT	,
pauses	NOUN	pause
.	PUNCT	.
qui	PRON	qui
-	PROPN	-
écrivain	PRON	écrivain
les	DET	le
ne	ADV	ne
est	AUX	être
dans	ADP	dans
les	DET	le
tenait	VERB	tenir
avait	VERB	avoir
,	PUNCT	,
les	DET	le
soi	ADV	soi
les	DET	le
.	PUNCT	.
Or	CCONJ	or
à	ADP	à
blottie	VERB	blottir
mais	CCONJ	mais
une	DET	un
fidélité	NOUN	fidélité
réalité	NOUN	réalité
La	DET	le
langue	NOUN	langue
paragraphes	NOUN	paragraphe
agonie	NOUN	agonie
entre	ADP	entre
,	PUNCT	,
qui	PRON	qui
blancs	NOUN	blanc
dégradante	ADJ	dégradant
la	DET	le
incarnait	VERB	incarner
même	ADV	même
séparent	VERB	séparer
entre	ADP	entre
les	DET	le
se	PRON	se
,	PUNCT	,
phrases	NOUN	phrase
,	PUNCT	,
cette	DET	ce
qu'	SCONJ	que
dans	ADP	dans
l'	PRON	l'
lignes	NOUN	ligne
La	DET	le
pas	ADV	pas
le	DET	le
habitait	VERB	habiter
observait	VERB	observer
saleté	NOUN	saleté
-elle	PRON	lui
Dans	ADP	dans
vitre	NOUN	vitre
d'	ADP	de
,	PUNCT	,
le	DET	le
tout	ADJ	tout
il	PRON	il
En	ADP	en
double	NOUN	double
cette	DET	ce
j'	PRON	je
l'	DET	le
,	PUNCT	,
puisque	SCONJ	puisque
ce	PRON	ce
la	DET	le
été	AUX	être
,	PUNCT	,
?	PUNCT	?
enfant	NOUN	enfant
.	PUNCT	.
,	PUNCT	,
elle	PRON	lui
T.G.V.	NOUN	t.g.v.
contre	ADP	contre
moi	PRON	moi
narrateur	NOUN	narrateur
transpirait	VERB	transpirer
abord	ADV	abord
tempe	NOUN	tempe
m'	PRON	me
son	DET	son
que	PRON	que
filant	ADJ	filant
derrière	ADP	derrière
.	PUNCT	.
vers	ADP	vers
Paris	PROPN	Paris
qu'	SCONJ	que
toujours	ADV	toujours
II	NUM	II
,	PUNCT	,
écrivais	VERB	écrire
incompréhensibles	ADJ	incompréhensible
le	DET	le
pour	ADP	pour
choses	NOUN	chose
bizarres	NOUN	bizarre
sur	ADP	sur
fixait	VERB	fixer
était	AUX	être
l'	DET	le
d'	ADP	de
onirique	ADJ	onirique
où	PRON	où
la	DET	le
,	PUNCT	,
même	ADJ	même
évoluaient	VERB	évoluer
promenait	VERB	promener
constituait	VERB	constituer
échangeant	VERB	échanger
.	PUNCT	.
il	PRON	il
majorité	NOUN	majorité
suivait	VERB	suivre
de	ADP	de
qu'	SCONJ	que
ce	DET	ce
des	DET	un
répliques	NOUN	réplique
,	PUNCT	,
qui	PRON	qui
lui	PRON	lui
Il	PRON	il
regard	NOUN	regard
de	ADP	de
,	PUNCT	,
absence	NOUN	absence
.	PUNCT	.
toutes	DET	tout
personnages	NOUN	personnage
,	PUNCT	,
qu'	SCONJ	que
pour	ADP	pour
réalité	NOUN	réalité
une	DET	un
scène	NOUN	scène
Ce	PRON	ce
paysage	NOUN	paysage
n'	ADV	n'
intrigue	NOUN	intrigue
la	DET	le
?	PUNCT	?
comprenait	VERB	comprendre
?	PUNCT	?
Ses	DET	son
vous	PRON	vous
échappait	VERB	échapper
il	PRON	il
-vous	PRON	vous
avait	AUX	avoir
sens	NOUN	sens
comporter	VERB	comporter
pour	ADP	pour
de	ADP	de
au	ADP	au
mais	CCONJ	mais
laissiez	NOUN	laissiez
lui	PRON	lui
:	PUNCT	:
enfin	ADV	enfin
yeux	NOUN	oeil
agitations	NOUN	agitation
cette	DET	ce
l'	PRON	l'
action	NOUN	action
ces	DET	ce
,	PUNCT	,
,	PUNCT	,
tranquille	NOUN	tranquille
,	PUNCT	,
demander	VERB	demander
Comment	ADV	comment
événement	NOUN	événement
le	DET	le
que	SCONJ	que
aux	ADP	à
de	ADP	de
L'	DET	le
.	PUNCT	.
me	PRON	me
mascarade	NOUN	mascarade
dois	VERB	devoir
acteurs	NOUN	acteur
me	PRON	me
-je	PRON	je
me	PRON	me
semblaient	VERB	sembler
l'	DET	le
voulez	VERB	vouloir
pris	VERB	prendre
Que	SCONJ	que
qu'	SCONJ	que
.	PUNCT	.
comme	ADP	comme
Il	PRON	il
jamais	ADV	jamais
mourir	VERB	mourir
dépourvu	NOUN	dépourvu
ressentait	VERB	ressentir
avant	ADP	avant
,	PUNCT	,
de	ADP	de
haine	NOUN	haine
ne	ADV	ne
.	PUNCT	.
bien	ADV	bien
le	PRON	le
par	ADP	par
pas	ADV	pas
.	PUNCT	.
le	PRON	le
finirait	VERB	finir
le	PRON	le
disparaître	NOUN	disparaître
savait	VERB	savoir
elle	PRON	lui
,	PUNCT	,
Il	PRON	il
admettait	VERB	admettre
lâcherait	VERB	lâcher
,	PUNCT	,
indestructible	ADJ	indestructible
dût	ADP	dût
sûr	ADJ	sûr
qui	PRON	qui
mais	CCONJ	mais
qu'	PRON	qu'
elle	PRON	lui
.	PUNCT	.
ne	ADV	ne
croyait	VERB	croire
,	PUNCT	,
il	PRON	il
Il	PRON	il
une	DET	un
puissance	NOUN	puissance
