nu	ADV	nu
qu'	SCONJ	que
dis	VERB	dire
Autrichiens	NOUN	autrichien
une	DET	un
très	ADV	très
carton	NOUN	carton
ni	CCONJ	ni
d'	ADP	de
il	PRON	il
n'	ADV	n'
Edmondsson	PROPN	Edmondsson
il	PRON	il
sur	ADP	sur
pas	ADV	pas
.	PUNCT	.
,	PUNCT	,
s'	PRON	se
connaissant	VERB	connaître
peut-être	ADV	peut-être
,	PUNCT	,
expliquais	VERB	expliquer
erreur	NOUN	erreur
le	DET	le
agissait	VERB	agir
.	PUNCT	.
rebord	NOUN	rebord
de	ADP	de
qu'	SCONJ	que
le	DET	le
10	NUM	10
,	PUNCT	,
probablement	ADV	probablement
ma	DET	mon
ans	NOUN	an
en	ADP	en
baignoire	NOUN	baignoire
le	DET	le
dans	ADP	dans
vingt-sept	NUM	vingt-sept
,	PUNCT	,
.	PUNCT	.
vivre	VERB	vivre
la	DET	le
baignoire	NOUN	baignoire
risque	NOUN	risque
ne	ADV	ne
,	PUNCT	,
de	ADP	de
reclus	ADV	reclus
-je	PRON	je
la	DET	le
.	PUNCT	.
moins	ADV	moins
,	PUNCT	,
pour	ADP	pour
bientôt	ADV	bientôt
ou	CCONJ	ou
vingt-neuf	ADJ	vingt-neuf
quiétude	NOUN	quiétude
de	ADP	de
compromettre	VERB	compromettre
devais	VERB	devoir
caressant	VERB	caresser
abstraite	VERB	abstraire
de	ADP	de
,	PUNCT	,
prendre	VERB	prendre
plus	ADV	plus
vie	NOUN	vie
une	DET	un
risque	NOUN	risque
disais	PRON	disais
l'	DET	le
un	DET	un
yeux	NOUN	oeil
émail	NOUN	émail
de	ADP	de
Je	PRON	je
,	PUNCT	,
baissés	ADJ	baissé
Je	PRON	je
les	DET	le
assis	VERB	asseoir
pas	ADV	pas
.	PUNCT	.
salle	NOUN	salle
cheveux	ADJ	cheveux
de	ADP	de
terminai	VERB	terminer
-je	PRON	je
,	PUNCT	,
Le	DET	le
un	DET	un
homme	NOUN	homme
Kabrowinski	PROPN	Kabrowinski
fume	NOUN	fume
11	NUM	11
,	PUNCT	,
sortis	VERB	sortir
votre	DET	votre
costume	NOUN	costume
de	ADP	de
je	PRON	je
.	PUNCT	.
cuisine	NOUN	cuisine
phrase	NOUN	phrase
,	PUNCT	,
.	PUNCT	.
gris	ADJ	gris
,	PUNCT	,
en	ADP	en
.	PUNCT	.
Witold	PROPN	Witold
ma	DET	mon
)	PUNCT	)
aux	ADP	à
12	NUM	12
lendemain	NOUN	lendemain
dans	ADP	dans
la	DET	le
blancs	ADV	blancs
Et	CCONJ	et
.	PUNCT	.
)	PUNCT	)
?	PUNCT	?
C'	PRON	ce
était	AUX	être
bain	NOUN	bain
ma	DET	mon
demandai	NOUN	demandai
un	DET	un
prénom	NOUN	prénom
Pour	ADP	pour
cigarette	NOUN	cigarette
Il	PRON	il
lui	PRON	lui
il	PRON	il
debout	ADV	debout
-	PUNCT	-
.	PUNCT	.
dans	ADP	dans
homme	NOUN	homme
la	DET	le
maison	NOUN	maison
un	DET	un
appartement	NOUN	appartement
.	PUNCT	.
confus	PROPN	confus
tenait	VERB	tenir
m'	PRON	me
s'	PRON	se
.	PUNCT	.
se	PRON	se
bond	NOUN	bond
présence	NOUN	présence
la	DET	le
jeune	ADJ	jeune
main	NOUN	main
excusait	VERB	excuser
.	PUNCT	.
,	PUNCT	,
se	PRON	se
croyait	VERB	croire
sa	DET	son
Un	DET	un
,	PUNCT	,
leva	VERB	lever
plus	ADV	plus
justifier	VERB	justifier
derrière	ADP	derrière
était	AUX	être
et	CCONJ	et
être	AUX	être
d'	ADP	de
sa	DET	son
seul	ADJ	seul
dans	ADP	dans
Kabrowinski	PROPN	Kabrowinski
à	ADP	à
chaise	NOUN	chaise
mon	DET	mon
offrit	VERB	offrir
Edmondsson	PROPN	Edmondsson
il	PRON	il
travaillait	VERB	travailler
la	DET	le
polonais	ADJ	polonais
de	ADP	de
,	PUNCT	,
laquelle	PRON	lequel
que	SCONJ	que
qu'	SCONJ	que
moment	NOUN	moment
des	ADP	de
